regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
MACAGUAL AUTOMATICA ,280,-75.661,1.499722222222,0,0,0,0,4.14,0,0.369,0.64
STA MARIA AUTOM ,13,-73.256694444444,4.84125,0,0,0,0,4.121,0,0.375,0.64
INZA AUTOMATICA ,18,-76.063944444444,2.548194444444,0,0,0,0,2.951,0,1.428,0.63
UNIV DE PAMPLONA AUTOMATICA ,2362,-72.666055555556,7.360944444444,1.588,0,0,0,1.188,0,1.595,0.62
HDA SUECIA AUTOMATICA ,1755,-76.82775,2.479555555556,0,0,0,0,1.454,1.463,1.453,0.62
SAN CAYETANO AUTOM  ,2807,-74.088222222222,4.516752777778,0,0,0,0,2.674,0,1.683,0.62
CIUDAD BOLIVAR AUTOMATICA ,2687,-74.176777777778,4.576861111111,0,0,0,0,2.674,0,1.657,0.62
SAN PABLO DE BORBUR AUTOM ,742,-74.071305555556,5.647027777778,0,0,0,0,2.175,0,2.109,0.61
LA CAPILLA AUTOM ,1917,-73.436,5.099194444444,0,0,0,0,3.733,0,0.407,0.59
MARENGO  AUTOMATICA ,155,-76.118888888889,2.221111111111,0,0,0,0,1.811,0,2.304,0.59
DESIERTO LA TATACOA AUTOMATICA ,459,-75.168194444444,3.234472222222,0,0,0,0,1.387,1.387,1.325,0.59
UNIV DE NARIÑO  ,2626,-77.283388888889,1.225111111111,0,0,0,0,3.636,0,0.432,0.58
PMO RABANAL AUTOMATICA  ,3398,-73.562777777778,5.392388888889,0,0,0,0,0,3.63,0.433,0.58
NEV SANTA ISABEL AUTOMATICA ,4757,-75.380472222222,4.802611111111,0,0,0,0,2.851,0,1.185,0.58
EL DIVISO AUTOMATICA ,175,-77.258777777778,2.311416666667,0,0,0,0,1.643,1.946,0.431,0.57
VILLANUEVA VILLAHERMOSA   ,1591,-75.55,6.253277777778,0,0,0,0,1.987,0,1.789,0.54
ZETAQUIRA AUTOMATICA ,1436,-73.169944444444,5.294944444444,0,0,0,0,3.315,0,0.436,0.54
BERLIN AUTOMATICA ,3316,-72.8685,7.187,0,0,0,0,0,3.043,0.436,0.5
LA SIERRA AUTOM  ,187,-76.750333333333,2.193833333333,0,0,0,0,2.914,0,0.431,0.48
SAN ANTONIO SANTANDER AUTOMATICA ,148,-73.066194444444,7.099527777778,0,0,0,0,1.722,0,1.596,0.47
