code,name,source,TS,HR,PR,VV,DV,NUB
22057010,PIEDRAS DE COBRE  [22057010],IDEAM,0,0,12.27,0,0,0
26055120,UNIV DEL VALLE  [26055120],IDEAM,0,9.64,1.06,7.2,7.13,0
35235040,,,0,0.06,0.06,0.04,0.06,0
52025080,ESTRECHO PATIA   [52025080],IDEAM,0,7.61,0.93,0.78,0.76,0
693774,APIAY (TMQ 53),NOAA,7.55,7.55,7.55,7.55,7.55,7.55
800910,YARIGUIES,NOAA,4.28,4.28,4.28,4.28,4.28,4.28
35027510,CALOSTROS BAJO   [35027510],IDEAM,0,7.67,1.07,0,0,0
35025080,PNN CHINGAZA AUTOM  [35025080],IDEAM,0,8.27,1.06,7.77,6.46,0
804453,LA FRIA,NOAA,1.27,1.27,1.27,1.27,1.27,1.27
29065120,BATALLON NO. 6 AUTOMATICA [29065120],IDEAM,0,9.82,1.06,2.1,4.52,0
800840,ANTONIO ROLDAN BETANCOURT,NOAA,4.55,4.55,4.55,4.55,4.55,4.55
21015050,PURACE  AUTOMATICA [21015050],IDEAM,7.79,7.68,7.69,6.86,6.99,0
24055070,SAN  VICENTE DE CHUCURI AUTOMATICA [24055070],IDEAM,0,6.7,0.63,5.6,5.6,0
26035100,HDA SUECIA AUTOMATICA [26035100],IDEAM,0,3.77,0.07,3.72,3.72,0
26135310,STA ROSA AUTOM  [26135310],IDEAM,0,2.89,0,1.48,1.49,0
44015070,EL PEPINO AUTOMATICA [44015070],IDEAM,0,8.08,1.06,1.05,1.03,0
21047010,PTE BALSEADERO AUTOMATICA [21047010],IDEAM,0,0,1.08,0,0,0
16027300,PTE CAPIRA AUTOMATICA [16027300],IDEAM,0,0,6.79,0,0,0
21015060,MARENGO  AUTOMATICA [21015060],IDEAM,3.24,8.4,8.36,5.85,6.26,0
13095010,COVEÑAS AUTOMATICA[13095010],IDEAM,8.95,8.38,9.09,8.73,8.93,0
16015501,APTO CAMILO DAZA AUTOM [16015501],IDEAM,2.25,2.26,2.21,2.25,2.24,0
13085050,LORICA  ITA AUTOMATICA [13085050],IDEAM,5.11,4.91,4.85,3.62,3.62,0
35235050,,,0,0.08,0.08,0.07,0.08,0
24055080,VIZCAINA LA LIZAMA AUTOMATICA [24055080],IDEAM,4.5,4.5,1.06,4.49,4.49,0
25025360,,,0,3.78,0.79,3.67,3.47,0
25017010,MONTELIBANO AUTOMATICA [25017010],IDEAM,0,0,0.59,0,0,0
26127040,CARTAGO    [26127040],IDEAM,0,0,0.87,0,0,0
23085260,LA SELVA AUTOM  [23085260],IDEAM,0,6.23,6.23,6.04,6.18,0
25025030,,,0,3.12,0.61,2.51,2.48,0
26085160,SILOE AUTOM   [26085160],IDEAM,0,3.17,0.9,3.14,3.13,0
21206980,STA CRUZ DE SIECHA AUTOMATICA [21206980],IDEAM,0,10.34,10.31,7.46,7.97,0
21255170,MURILLO AUTOM   [21255170],IDEAM,0,10.68,10.21,9.63,9.63,0
