,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,293532,397211,0.74,207298,0.71,14/07/2010 00:10:00,31/01/2018 10:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,47882,66734,0.72,47810,1,15/07/2010 01:00:00,23/02/2018 15:00:00
,DV,260134,400583,0.65,250746,0.96,14/07/2010 00:10:00,23/02/2018 20:00:00
,HR,48764,66826,0.73,48764,1,15/07/2010 01:00:00,27/02/2018 11:00:00
,PR,293166,400877,0.73,293146,1,15/07/2010 00:10:00,26/02/2018 21:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,48641,66776,0.73,46953,0.97,14/07/2010 01:00:00,24/02/2018 09:00:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
27,51025080,ALTAQUER AUTOMATICA [51025080],1.248333333333,-78.0925,1010
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,14339,17593,0.82,14339,1,27/10/2017 13:00:00,26/02/2018 17:10:00
,DV,13925,17179,0.81,13925,1,27/10/2017 13:00:00,23/02/2018 20:10:00
,HR,11438,41608,0.27,11438,1,30/05/2013 19:00:00,27/02/2018 11:00:00
,RS,9038,10488,0.86,4599,0.51,30/05/2013 19:00:00,10/08/2014 19:00:00
,PR,14390,17611,0.82,14390,1,27/10/2017 13:00:00,26/02/2018 20:10:00
28,15065501,MINA LA CERREJON - AUTOM [15065501],11.137583333333,-72.615944444444,80
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,42423,32158,1.32,42229,1,13/06/2014 10:20:00,12/02/2018 09:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,2191,23853,0.09,2191,1,25/05/2015 12:00:00,12/02/2018 09:00:00
,DV,42536,193054,0.22,42493,1,12/06/2014 17:20:00,12/02/2018 09:00:00
,RS,2189,23852,0.09,2168,0.99,25/05/2015 13:00:00,12/02/2018 09:00:00
,TS,2191,23853,0.09,2186,1,25/05/2015 12:00:00,12/02/2018 09:00:00
,PR,62614,143122,0.44,62614,1,25/05/2015 11:15:00,12/02/2018 09:00:00
29,21115170,LA PLATA AUTOMATICA [21115170],2.759138888889,-75.074555555556,2101
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,75979,110918,0.69,69906,0.92,30/06/2005 19:00:00,24/02/2018 09:00:00
,TS,74892,110900,0.68,71010,0.95,30/06/2005 19:00:00,23/02/2018 15:00:00
,PR,460045,665866,0.69,459441,1,30/06/2005 18:20:00,26/02/2018 20:00:00
,VV,429807,665854,0.65,417368,0.97,30/06/2005 18:20:00,26/02/2018 18:00:00
,HR,77585,110992,0.7,74207,0.96,30/06/2005 19:00:00,27/02/2018 11:00:00
,DV,440127,665434,0.66,435795,0.99,30/06/2005 18:20:00,23/02/2018 20:00:00
30,802340,VANGUARDIA,4.168,-73.614,424.9
